"","label","type","author","title","journal","year","volume","month","abstract","doi","earlyaccessdate","article_number","issn","eissn","researcherid_numbers","orcid_numbers","unique_id","number","pages","note","organization","citation","notes"
"2","X.WOS.000542518000001","article","Engebretson, Jesse M. and Nelson, Kristen C. and Ogden, Laura A. and Larson, Kelli L. and Grove, J. Morgan and Hall, Sharon J. and Locke, Dexter H. and Pataki, Diane E. and Chowdhury, Rinku Roy and Trammell, Tara L. E. and Groffman, Peter M.","How the Nonhuman World Influences Homeowner Yard Management in the American Residential Macrosystem","HUMAN ECOLOGY","2020","48","JUN","Although the yard is a hybrid social and material landscape, much social science research emphasizes the socio-cultural factors and has mostly neglected the potentially important influence of plants, animals, and the nonliving material world on homeowners' decision-making. Using interviews across six metropolitan areas in the United States, we investigated the ways residential yards' nonhuman context is perceived to influence homeowners' relationships with and planning for their yards. We found that nonhuman dynamics establish boundaries of yard-related decision-making, and that homeowners described their relations with the nonhuman context of the yard as cooperative, oppositional, and negotiable. We call for social science in urban spaces to be more explicitly informed by a consideration of nonhuman agency, and offer an ethical reflection of who or what is considered to have a right to cohabitate in homeowners' yards.","10.1007/s10745-020-00164-2","JUN 2020",NA,"0300-7839","1572-9915","Pataki, Diane E/F-9732-2011 Locke, Dexter Henry/JFT-1017-2023 Chowdhury, Rinku Roy/A-5424-2009 Hall, Sharon J./K-7893-2012 ","Locke, Dexter Henry/0000-0003-2704-9720 Hall, Sharon/0000-0002-8859-6691 Pataki, Diane/0000-0001-7209-514X Trammell, Tara/0000-0002-5215-4947","WOS:000542518000001","3","347-356",NA,NA,"How the Nonhuman World Influences Homeowner Yard Management in the American Residential Macrosystem.",NA
"3","X.WOS.001121409500001","article","Kalauni, Dharmendra and Warner, Laura A. and Diaz, John M. and Daniels, Jaret and Dale, Adam and Marois, Emily","Formative audience research to increase consumer demand for professional wildlife-friendly landscape maintenance","URBAN FORESTRY \& URBAN GREENING","2023","90","DEC","Greenspace in residential landscapes meets human needs, connects people with nature, and supports wildlife and biodiversity. However, some landscape maintenance practices are detrimental to wildlife and components of their habitat. We conducted a cross-sectional study to understand consumer knowledge, the extent of existing demand, and barriers related to wildlife-friendly landscape maintenance practices. An electronic survey was employed to collect data among Florida residents who were at least 18 years old and had a lawn or landscape for which they made decisions regarding maintenance. Non-probability opt-in sampling was used to recruit participants. Altogether 2101 residents completed the survey, among which 1053 indicated they hired green industry professionals for some aspects of landscape maintenance. Residents were least knowledgeable (M +/- S.D. = 2.82 +/- 1.17) about when to apply products like pesticides to yard/planting areas to minimize harm to wildlife whereas they were most knowledgeable (M +/- S.D. = 3.32 +/- 1.16) about how to read pesticide labels when measured on a five-point Likert-type scale. The frequency of demand for 56 wildlife-friendly landscape maintenance practices varied from most of the time to half of the time on a five-point Likert-type scale. Consumers agreed homeowner association restrictions, lack of knowledge, lack of awareness, lack of labeling on plants, and associated costs were some major barriers to their engagement in wildlife-friendly landscaping. It is recommended to work on reducing these perceived barriers among residents and increasing rewards with interventions like education, pledges, and financial incentives among others to increase demand for landscape maintenance services that support wildlife.","10.1016/j.ufug.2023.128152","NOV 2023","128152","1618-8667","1610-8167","Kalauni, Dharmendra/AAZ-3820-2021 ","Kalauni, Dharmendra/0000-0001-8443-0101 Daniels, Jaret/0000-0002-3245-6710 Warner, Laura/0000-0003-2784-6666","WOS:001121409500001",NA,NA,NA,NA,"Formative Audience Research to Increase Consumer Demand for Professional Wildlife-Friendly Landscape Maintenance.",NA
"5","X.WOS.001186086400001","article","Van Helden, Bronte E. and Skates, Laura M. and Close, Paul G.","Use of wildlife-friendly structures in residential gardens by animal wildlife: evidence from citizen scientists in a global biodiversity hotspot","URBAN ECOSYSTEMS","2024",NA,"2024 MAR 18","Private gardens comprise a large component of greenspace in cities and can offer substantial conservation opportunities. There has been strong advocacy from researchers, policymakers, and conservation practitioners to engage householders in wildlife-friendly gardening practices to increase the quantity, quality and connection of habitat resources for urban wildlife. Despite this call to action, there remains limited knowledge on the use and benefit of some wildlife-friendly structures within gardens, such as artificial refuges and water sources. In collaboration with 131 citizen scientists in southwestern Australia, we examined the use of seven wildlife-friendly structure types by four vertebrate taxa groups. Following 2841 wildlife surveys undertaken between 31 July 2022 and 22 February 2023, we found that all structures were used primarily by target taxa, water sources were often used by relatively common species, certain structures such as possum shelters were used by rare and threatened species (e.g. western ringtail possum), and that there was evidence of animals making use of the wildlife-friendly structures for reproduction (e.g. bird eggs in nest boxes and tadpoles in water sources). Water sources were used more frequently and by a greater diversity of wildlife than artificial refuges. In particular, bird baths were used by the highest number of species (mainly birds) while ponds were used by the greatest variety of taxa (birds, reptiles, frogs, mammals). Our findings provide evidence-based support for the advocacy of wildlife-friendly gardening practices and further highlight the role of residential gardens for biodiversity conservation.","10.1007/s11252-024-01530-4","MAR 2024",NA,"1083-8155","1573-1642",NA,"Van Helden, Bronte/0000-0003-2952-4193 Close, Paul/0000-0002-7323-0304","WOS:001186086400001",NA,NA,NA,NA,"Use of Wildlife-Friendly Structures in Residential Gardens by Animal Wildlife: Evidence from Citizen Scientists in a Global Biodiversity Hotspot.",NA
"7","X.WOS.001091459700001","article","Johansson, Emily P. and Degregorio, Brett A.","The effects of landscape and yard features on mammal diversity in residential yards within Northwest Arkansas, USA","URBAN ECOSYSTEMS","2024","27","FEB","The human footprint is rapidly expanding, and wildlife habitat is continuously being converted to human residential properties. Surviving wildlife that reside in developing areas are displaced to nearby undeveloped areas. However, some animals can co-exist with humans and acquire the necessary resources (food, water, shelter) within the human environment. This ability to coexist may be particularly true when development is low intensity, as in residential suburban yards. Yards are individually managed ``greenspaces{''} that can provide a range of food (e.g., bird feeders, compost, gardens), water (bird baths and garden ponds), and shelter (e.g., brush-piles, outbuildings) resources and are surrounded by varying landscape cover. To evaluate which residential landscape and yard features influence the richness and diversity of mammalian herbivores and mesopredators; we deployed wildlife game cameras throughout Northwestern Arkansas, USA in 46 residential yards in summer 2021 and 96 yards in summer 2022. We found that mesopredator diversity had a negative relationship with fences and was positively influenced by the number of bird feeders present in a yard. Mesopredator richness increased with the amount of forest within 400 m of the camera. Herbivore diversity and richness were positively correlated to the area of forest within 400 m surrounding yard and by garden area within yards, respectively. Our results suggest that while landscape does play a role in the presence of wildlife in a residential area, homeowners also have agency over the richness and diversity of mammals using their yards based on the features they create or maintain on their properties.","10.1007/s11252-023-01433-w","OCT 2023",NA,"1083-8155","1573-1642",NA,"Johansson, Emily/0000-0002-7517-6647","WOS:001091459700001","1","275-287",NA,NA,"The Effects of Landscape and Yard Features on Mammal Diversity in Residential Yards Within Northwest Arkansas, Usa.",NA
"8","X.WOS.000248910700014","article","Gaston, Kevin J. and Fuller, Richard A. and Loram, Alison and MacDonald, Charlotte and Power, Sinead and Dempsey, Nicola","Urban domestic gardens (XI): variation in urban wildlife gardening in the United Kingdom","BIODIVERSITY AND CONSERVATION","2007","16","OCT","Two consequences of the continued urbanisation of the human population are that a growing proportion of the landscape is less hospitable to, and that a growing proportion of people are disconnected from, native biodiversity. One response of the UK government has been to establish a goal, and an associated baseline indicator, of increasing the extent and range of public participation in gardening for wildlife. The formulation of policy to attain this end requires, however, insight into the factors that are associated with the level of participation. Here we examine the relationships, across 15 areas in five UK cities, between the proportion of households providing various garden features for wildlife or participating in various wildlife gardening activities, and housing densities and characteristics of the garden resource. We show that significant numbers of households participate in some form of wildlife gardening, but that the predominant form this participation takes is feeding wild birds. Key variables associated with spatial variation in wildlife gardening activities are the proportion of households with access to a garden and, more importantly, average garden size and the proportion of land cover by gardens. There was no evidence for strong effects of household density or the socio-economic status of householders on the prevalence of wildlife friendly features in gardens or on the participation by householders in activities to encourage wildlife. Our results suggest important considerations in attempts to increase awareness and participation in wildlife gardening.","10.1007/s10531-007-9174-6",NA,NA,"0960-3115","1572-9710","Fuller, Richard/B-7971-2008 Rollings, Glen/C-1562-2010","Fuller, Richard/0000-0001-9468-9678 ","WOS:000248910700014","11","3227-3238",NA,NA,"Urban Domestic Gardens (Xi): Variation in Urban Wildlife Gardening in the United Kingdom.",NA
"9","X.WOS.000672104500001","article","Andrade, R. and Bateman, H. L. and Larson, K. L. and Herzog, C. and Brown, J. A.","To the rescue-Evaluating the social-ecological patterns for bird intakes","URBAN ECOSYSTEMS","2022","25","FEB","Animals from urban areas are regularly brought into wildlife rehabilitation centers, providing untapped potential data records to inform management of wildlife species. Although rescues may be considered a wildlife stewardship behavior, not all `rescues' may be warranted. Some animals are more likely to be brought into a rescue center than others, suggesting that human drivers underlying wildlife rehabilitation efforts are important to understand for urban conservation efforts. Literature has primarily focused on understanding the ecological drivers and implications of wildlife rescues. Our study is the first to investigate both the social and ecological drivers of bird rescues using census, household survey, and intake data. In Phoenix metropolitan area, Arizona, USA in 2017-2018, we found doves and common species were sent to the center most often. Altricial species (helpless at hatching) and young birds were more likely to be brought to the center, perhaps due to perceptions of young animals as vulnerable. We found rescues came from neighborhoods with higher incomes and residents with pro-ecological worldviews, perhaps reflecting a perceived responsibility for wildlife. Conversely, few rescues came from neighborhoods with a high percentage of Hispanic/Latinx residents, who often feel more interdependent with nature. Neighborhoods with greater numbers of rescues were more likely to have residents participating in yard stewardship activities as compared to neighborhoods with fewer rescues. Our findings are relevant to understanding drivers of wildlife stewardship actions and for intake centers who wish to reduce the occurrence of people bringing in wildlife that do not need to be rescued.","10.1007/s11252-021-01135-1","JUL 2021",NA,"1083-8155","1573-1642",NA,"Bateman, Heather/0000-0002-3573-3824 Clark, Jeffrey/0000-0002-7831-4515","WOS:000672104500001","1","179-192",NA,NA,"To the Rescue-Evaluating the Social-Ecological Patterns for Bird Intakes.",NA
"18","X.WOS.000519656600013","article","Meehan, Timothy D. and Dale, Kathy and Lebaron, Geoffrey S. and Rowden, John and Michel, Nicole L. and Wilsey, Chad B. and Langham, Gary M.","Interacting with hummingbirds at home: Associations with supplemental feeding, plant diversity, plant origin, and landscape setting","LANDSCAPE AND URBAN PLANNING","2020","197","MAY","Several organizations run wildlife-gardening programs designed to mitigate the biodiversity loss and disconnect between humans and wildlife that commonly accompanies urbanization. The National Audubon Society runs the Plants for Birds and the Humminbirds at Home programs that, like others, recommend homeowners to establish diverse assemblages of native plants with supplemental feeders. Here, we use plant and hummingbird data from the Hummingbirds at Home program to determine whether common wildlife-gardening recommendations correlate with intended outcomes. Our results showed that, after statistically controlling for several variables related to observer effort and geography, the relative occurrence and relative frequency of hummingbird sightings during patch surveys was positively related to the (1) presence of hummingbird feeders in a patch, (2) number of nectar-provisioning flowering-plant taxa in a patch, (3) degree to which nectar-provisioning flowering-plants in a patch were endemic to the conterminous USA, and (4) lack of impervious surface (a common proxy for urban development) in the surrounding landscape. These results support previous studies that showed how recommendations from wildlife-gardening programs associate with intended outcomes, but do so across an exceptionally broad, national extent that varies enormously in physical and biological geography.","10.1016/j.landurbplan.2020.103774",NA,"103774","0169-2046","1872-6062",NA,"Wilsey, Chad/0000-0002-1448-1445 Michel, Nicole/0000-0001-7817-2687 Langham, Gary/0009-0002-9479-6806","WOS:000519656600013",NA,NA,NA,NA,"Interacting with Hummingbirds at Home: Associations with Supplemental Feeding, Plant Diversity, Plant Origin, and Landscape Setting.",NA
"20","X.WOS.001137570400001","article","Garfinkel, Megan and Belaire, Amy and Whelan, Christopher and Minor, Emily","Wildlife gardening initiates a feedback loop to reverse the ``extinction of experience{''","BIOLOGICAL CONSERVATION","2024","289","JAN","Urbanization can cause the ``extinction of experience{''}, a feedback loop in which people who have little interaction with nature are less likely to protect it. This cycle could result in a continual erosion of biodiversity and fewer opportunities for people to experience nature. Alternatively, a sustainable version of this loop may occur which incorporates environmental engagement, or ``noticing nature.{''} Here we combine ecological and social data to provide the first empirical test of the full extinction of experience/noticing nature loop, using birds as a focal taxon. Our study included 815 urban residents from 25 neighborhoods near Chicago, IL (USA). Residents were asked about their yard management and perceptions of birds in their neighborhoods. A researcher also documented the neighborhood bird communities. The social and ecological data were incorporated into a structural equation model to test the existence of a feedback loop. Our data confirm the existence of a loop but indicate that the relationship between people and birds is indirect rather than direct, suggesting that biodiversity changes are less important in the loop than residents' impressions of biodiversity. This is promising for urban conservation, because it suggests the cycle may continue even when the scale of management in an individual yard does not match the scale necessary for an immediate impact on wildlife. We therefore suggest that small wildlife-friendly changes to residential yards, in the aggregate, have the potential to reverse the extinction of experience and promote long-term increases in biodiversity.","10.1016/j.biocon.2023.110400","DEC 2023","110400","0006-3207","1873-2917",NA,NA,"WOS:001137570400001",NA,NA,NA,NA,"Wildlife Gardening Initiates a Feedback Loop to Reverse the ``extinction of Experience{''",NA
"26","X.WOS.000262672200005","article","Dowle, Matthew and Deane, Elizabeth M.","Attitudes to native bandicoots in an urban environment","EUROPEAN JOURNAL OF WILDLIFE RESEARCH","2009","55","FEB","Urbanization along the eastern seaboard of Australia has increased the potential for conflict between humans and wildlife. The northern suburbs of Sydney are home to the southern brown (Isoodon obesulus) and the long-nosed bandicoot (Perameles nasuta). Both are known to enter yards of home owners causing a disturbance to yard plantings and an interaction with domestic pets. Understanding the driving factors behind the public's perception of bandicoots will enable wildlife managers to develop effective and socially acceptable conservation strategies. Six hundred and thirty questionnaires were distributed to the residents bordering Ku-ring-gai Chase and Garigal National Park in Sydney, Australia, to assess the sources of conflict. Eighty-three percent of respondents had experienced bandicoot interactions and 27\% had experienced interactions on a daily basis. This interaction with bandicoots influenced respondents' perception of a bandicoot as a nuisance or pest. The age of the resident and pet ownership status also influenced respondents' attitudes. Contrary to anecdotal reports, there was an overall positive response from the community. The information gained from this survey will inform the development community-based management strategies for the bandicoots of northern Sydney.","10.1007/s10344-008-0212-9",NA,NA,"1612-4642",NA,NA,NA,"WOS:000262672200005","1","45-52",NA,NA,"Attitudes to Native Bandicoots in an Urban Environment.",NA
"28","X.WOS.000279290700031","article","Weckel, Mark E. and Mack, Deborah and Nagy, Christopher and Christie, Roderick and Wincorn, Anastasia","Using Citizen Science to Map Human-Coyote Interaction in Suburban New York, USA","JOURNAL OF WILDLIFE MANAGEMENT","2010","74","JUL","The expansion of coyotes (Canis latrans) into the northeastern United States is a major challenge to wildlife professionals, especially in suburban and urban areas where reports of human coyote interaction (HCI) are on the rise. To assist wildlife professionals in identifying potential hot spots of interaction and homeowners in evaluating their risk of a backyard encounter, we used the techniques of citizen science to build a landscape model of HCI for suburban residential properties in Westchester County, New York, USA. We distributed surveys via school children (kindergarten to grade 12) as part of a voluntary class assignment, to maximize the number of homeowners participating in our study and to provide learning experiences for students. Of 6,000 surveys distributed to schools, >1,500 students interviewed their parents on whether a coyote had been seen or heard on their property from 2003 to 2006. Although surveys could not be distributed randomly owing to the participatory process of individual schools, we did receive responses from across Westchester County, representing the spectrum from the most rural to the most urban towns. Homeowners who encountered (i.e., seen or heard) a coyote on their property were on average 50\% closer to forest, 36\% closer to grassland, and 66\% farther from medium- to high-intensity development, complementing existing knowledge on urban coyote habitat use. Our model seemed robust in predicting an independent set of coyote observations (r = 0.88). Based on this model, we generated a map describing the probability of HCI that can be used by both wildlife professionals and homeowners. Regarding the former, state wildlife agencies could more precisely target education campaigns on how to live with coyotes where the possibility of HCI was greatest. Homeowners, in turn, could evaluate their own risk and modify behaviors that would make their property less attractive to coyotes. Furthermore, in creating a descriptive model of HCI from citizen-generated data, we demonstrated how citizen science can be a useful exploratory tool, generating a wealth of data over a large geographic area in a short period, especially when the inquest is appropriate to stakeholder participation in data collection.","10.2193/2008-512",NA,NA,"0022-541X","1937-2817",NA,"nagy, christopher/0000-0002-2835-2150","WOS:000279290700031","5","1163-1171",NA,NA,"using Citizen Science to Map Human-Coyote Interaction in Suburban New York, Usa.",NA
